商品コード,商品名称
45185311,ＭＬＢヒートステックメンソール１Ｐ
4901335115635,ポテトチップスリッチコンソメ　６０ｇ
4902888553158,甘酒　１０００ｍｌ
4901033630041,◎マルサン　調整豆乳　パック　１０００ｍｌ
4902102110860,コカコーラ　花伝ロイヤルミルクティ２８０ＭＬ加温
4901638839276,Ｗクランチ　１６８ｇ
4902201173629,キットカットミニ紅白パック　１４枚
4550283260135,ブレンディユニカフェ　ＭＩＯ－３０Ｂ
4901830622850,三立製菓　ミニかにぱん　９０ｇ
4901777229846,サントリー　のんある気分　地中海レモン　３５０ｍｌ
4987305114167,指定第２類医薬品　新ジキニン顆粒　２２包
4987072004708,第３類医薬品　のどぬ～るスプレー　１５ｍｌ
4909411077211,まるごと果実感グレープフルーツ　９００ｍｌ
4901777240964,サントリー　鏡月２０度１．８Ｌ
4987244177902,和光堂　Ｂマルシェ京風御膳　１９０ｇ
4987045054594,第２類医薬品　麻黄湯ｉ　１０包
4902881436113,夜店の焼そば塩だれ１３２ｇ
4901990364393,山椒が香る塩そば　９２ｇ
4902402888278,焦がしにんにく　４２ｇ
4902775063272,チコちゃんお湯かけＢＳ６袋　１３８ｇ
4901411089591,キリンビール　のどごしＺＥＲＯ　３５０＊６
4901411047546,キリン氷結ＺＥＲＯレモン３５０Ｍ
4902102113724,コカ・コーラ　アクエリアス　２Ｌ
4902102069359,コカ・コーラ　アクエリアス　５００ＭＬ
4970020015260,ぜいたく果実いちごのむＹＧ　１９０ｇ
4987904100332,パイロンＰＬ顆粒　２４包
4901336174709,大ばかうけたこ焼風味　７枚
4901626058207,チーズアーモンド　１６枚
4901071222253,焼そばモッチッチ　９９ｇ
4954097859552,ＨＣマージョンＤＸ４０００α　３Ｂ
4902102076395,コカ・コーラ　Ｆオレンジ　５００ｍｌ
4902102076579,コカ・コーラ　ファンタグレープ　５００ｍｌ
4901340689213,カルピス　カルピスウォーター　ペット　５００ｍｌ
4901777333802,ペプシジャパンコーラゼロ　４９０ｍｌ
4902777343068,パーフェクトプラス即効元気ゼリー　１８０Ｇ
4902888724558,森永製菓ｉｎゼリーマルチビタミン１８０ｇ
4902888543890,森永製菓ｉｎゼリーエネルギー１８０ｇ
4969908001662,カカシ　秋田県産あきたこまち　１０ｋｇ
4975566800233,イマージュ１８ロールダブル　３０ｍ
4902526004615,■堀川　お正月セット（彩）　４本
4901385745943,協同　しっかり濃厚４．４　１０００ｍｌ
4902705118805,明治　レンジえびグラタン　３個
4902188125611,ブラジルアイスコーヒー加糖　１０００ＭＬ
4944721020113,茨城乳業　酪農牛乳　１０００ｍｌ
4902402626948,ハウス　カリー屋カレー甘口　２００ｇ
4901231303877,伊藤ハム　皮なしマジ旨あらびきウインナー　２１６ｇ
4903050502806,雪印　ネオソフト　３００ｇ
4903110098669,超芳醇（８）
49377743,玉子Ｍ　１０個
4902165145380,炒飯の極みＸＯ醤　６００ｇ
4901990325547,東洋水産　ごつ盛りワンタン醤油ラーメン　１１７ｇ
4901990362962,ごつ盛り塩担々麺　１１２ｇ
4901790062116,シマダヤ　「めんの彩り」あげ玉　５０ｇ
4902121906543,ＴＶ　ＢＰマヨネーズ５００ｇ
4902388026527,みそ汁太郎２４食　２４食分
4549741808453,ＴＶ濃いトマトケチャップ４００ｇ
404100011889,◎ベジテック　にんじん
404100014316,たまねぎ
4902720115063,ＭＯＷバニラ
4901990341448,マルちゃん　生ラーメン味噌　１１０ｇ×３
4972195079665,極洋　ライトツナまぐろ油漬フレーク　４Ｐ
4902165569490,さんま煮付け　１５０ｇ
4901231132095,旨味チャーシュー　５０ｇ
4901005231931,ＤＯＮＢＵＲＩ亭牛丼３食パック
4901005231016,江崎グリコ　ＤＯＮＢＵＲＩ亭中華丼　３食パック
4902115235833,チキンナゲット　１５４ｇ
4902885000686,ペヤング　ソースやきそば　１２０ｇ
4902115253080,ボリュームパックベーコン
4902165542677,マルハ　肉巻きポテト　１３２ｇ
4953009112440,伊藤食品　美味しい鯖味噌煮　１９０ｇ
9555701503011,カステル缶クッキー　３４０ｇ
4901360307616,ブルボン　ミニシルベーヌＦＳ　１６０ｇ
4902757171902,名糖産業　アルファベットチョコレート　１９１ｇ
4901360331413,ルマンドキャラメルココア　１９０ｇ
4901301288585,花王　キュキュットＣ除菌　詰替７
4901422153205,ＮＥＷクレラップレギュラー３０ｃ
4901603025833,ｗｅｌｃｉａサンホイル　８ｍ
4901417721815,クラシエ　いち髪なめらかスムースＳＰ詰替２回分
4901417721822,クラシエ　いち髪なめらかスムースＣＤ詰替２回分
4978022208550,Ｍソフターブルー　替　２０００ｍ
4901301336989,花王　アタッククリアジェル中スパウト　１３５０ｇ
4901301349958,花王　ビオレｕプレーン詰替２．４回分　８２０ＭＬ
4901301373663,強力カビハイター排水口スッキリ　６Ｐ
4957434008088,昭和紙工　ウエルシアドライシート２４枚Ｘ２Ｐ
4903301086116,おふろルック替増量　３８５ｍｌ
4902011724004,大王製紙　超吸収キッチンタオル４
4903301274650,ライオン　アクロンフローラルブーケ本体　４５０ＭＬ
4903301177203,第２類医薬品　スクラート胃腸薬Ａ　３４包
4959127006104,大塚食品　クリスタルガイザー　５００ｍｌ
4941495200017,勝沼　無添加赤ワイン　甘口　瓶７２０ｍｌ
4901005381148,アイスの実大人の苺　８４ＭＬ
4902170558489,カルビクッパ　３３０ｇ
4901005381155,大人抹茶ラテ　８４ｍｌ
4902188026611,カフェブラック無糖２５０ＭＬ
4903301292289,ライオン　ソフランアロマリッチベル本体　５２０ｍｌ
4901777343009,クラフトミルクティーホット　５００ｍｌ
4909411077419,午後の紅茶レモンティー　１．５Ｌ
4901313194560,柿の種チョコ＆ホワイトチョコ　７７ｇ
4909411072865,まるごと果実感アップル　９００ｍｌ
4902888323324,森永製菓　チョコモナカジャンボ　１５０ｍｌ
4901006310666,パウチゆであずき　４００ｇ
4901005379039,パピコ大人の濃厚ショコラ　１６０ｍｌ
4909411081287,午後の紅茶マイスターズ　５００ｍｌ
4936790133412,富永貿易　モンファボリメープルシロップ
4987240631415,龍角散　龍角散ののどすっきり飴　１００ｇ
4971633002852,カミ商事　エルモアピコティシュ１
45162916,ＰＭ　バージニアＳアイスパール１　１Ｐ
4903333121533,パイの実シェアパック　１３３Ｇ
4902555170749,カントリーマアムバニラ＆ココア　２０枚
4984194322833,メニコン　お泊まりケア２回分　１２ｍｌ×２
4901301236852,花王　めぐりズム蒸気でホットアイマスク　ラベンダー
4987072008539,指定第２類医薬品　ハッキリエース頭痛薬　箱９０包
4906666111127,三和酒類　いいちこ麦焼酎２５度
4901777338272,クラフトボスミルクティー　５００ｍｌ
4901777333888,ペプシジャパンコーラ　４９０ｍｌ
4549741658874,トップバリュ　ＴＶ紙製の消臭猫砂　５Ｌ
4904118598236,日本技研　つくば市指定燃えるゴミ　４０ｌ
4987286312682,第２類医薬品　ＨＣケンエー浣腸Ｓ　４０ｇ×１０
4901733310946,白檀の香り　４ロール
4987107615527,◆新ルルＡゴールドＳ３０錠
4902106011736,金のつぶパキッととろっ豆　４５ｇ×３
4987167031220,ニチバン　ケアリーヴ　ＣＬ３０Ｍ　３０枚
4528066191044,年賀はがき金箔　４枚入
4589840670018,から付落花生　２６０ｇ
4901085179611,健康ミネラルむぎ茶　６５０ｍｌ
4909411060824,キリン　まもるチカラのサプリ　５００ｍｌ
4901777300521,クラフトボスブラック　５００ｍｌ
4901085601426,リラックスジャスミンティー　５００ｍｌ
45185304,ＭＬＢヒートステックレギュラー１Ｐ
4901520127979,テーブルＭ　たきたてご飯こしひかり　５食
4902102072618,コカコーラ５００ＭＬ
4902011731156,大王製紙　エリエールウイルス除去
4903110108672,山崎製パン　２色パンチョコ＆クリーム
4970032091399,にらもやし炒め　２３０ｇ
4971275619371,オーム電機　全方向ＬＥＤ電球６０Ｗ形相当電球色
4902430849951,Ｐ＆Ｇ　イージークリップ防カビＥＸ　クリスタルＡ
4543352017822,ファーマインドバナナ
4901880905965,サッポロ黒ラベル３５０ｍｌ　６Ｐ
4901301288554,花王　キュキュットＣ除菌　緑茶詰
4946842524143,ミンティアブリーズクリスタルシルバー
4970020024316,Ｒｉｃｃｏ濃厚生チョコ　４０ｍｌ×６
4544630070881,ＨＣマードレトローチ　１８錠
4510073202257,イノウエ　カールクリップ大２Ｐ　Ｃ－０７
4901002146757,カレー＋ガラムマサラ　１１ｇ
4958655700720,遠藤製餡　北海道産あずき　つぶ餡　４００ｇ
4903110249825,①山崎製パン　イチゴスペシャルミニ（４）
4902102077316,コカ・コーラ　ＣＤジンジャーエール　１．５Ｌ
4903111216765,ユニ・チャーム　マミ－ポコパンツＢ　５６枚
4902508116633,ピジョン　おしりナップ厚手仕上げ
4904555018700,ニュー和風ぽち袋
4902102095259,綾鷹ホット３５０ＭＬ
4902011729238,大王製紙　エリエール１２ロールシングル　６０ｍ
49212877,メグミルク　ナチュレ恵４００ｇ
4902720116497,ビヒダスヨーグルト脂肪０　４００ｇ
4549660393382,スーパーマリオキャラパキ　１個
4901085612781,ティーズティーチャイ　５００ｍｌ
45019517,大塚製薬　ポカリスエット　ペット　５００ｍｌ
4901777285491,朝摘みオレンジ＆天然水　５４０ｍｌ
4901777285705,ヨーグリーナ＆天然水　５４０ｍｌ
4514603325812,ウィルキンソンタンサン　５００ｍｌ
4972776180025,霧島酒造　赤霧島パック　１８００
4905991935132,小正醸造　メローコヅル麿　２５％　７２０ｍｌ
4901201113369,ＵＣＣ　職人の珈琲ＤＰスペシャルＢ　１８Ｐ
4901001084159,味の素　ほんだし箱　１２０ｇ
4987241155699,ロート製薬　メディクイックＨ頭皮ローション
3211209233459,Ｍ・Ｒ　ブルゴーニュ　ピノ・ノワール　７５０ｍｌ
4589850822728,レモンスパークリング　５００ｍｌ
4902102137478,ＦＡ贅沢ダブルグレープ　４１０ｍｌ
4535659001185,ヤッホー　インドの青鬼　３５０ｍｌ
4901777210912,サントリー　ー１９６ストロングＷ
4515841006020,東日本沢内　銀河高原小麦のビール
4901990330619,東洋水産　おそば屋さんの鴨だしそば　９８ｇ
4901990522748,東洋水産　マルちゃん緑のたぬき天そば
4902011729108,大王製紙　エリエール消臭＋Ｆクリア１２ＲＷ　２５ｍ
4902430782562,Ｐ＆Ｇ　レノア本格消臭Ｆグリーン詰替　４５０ｍｌ
4970883010976,阿蘇製薬　ＨＰ救急バンＭサイズ１００枚
4902705084858,明治　ヴァームウォーター　ペット５００ｍｌ
4903301151791,ビトィーンハブラシ　超コンパクト
4901301210708,花王　キュレル　薬用クリーム　ジ
4902888728440,ｉｎバープロテインベイクドビター　３５ｇ
4902522700993,ピップ　指サック細　２個
4971666409710,グリコ乳業　カフェオーレ　１８０ｍｌ
4936613105862,山洋　抗菌綿棒　２００本２個組
4987103046264,第２類医薬品　ＨＣドルマイシン軟膏　６ｇ
4987167031244,ニチバン　ケアリーヴＳ　３０枚
4987167044763,ニチバン　ケアリーヴ防水タイプＭ
4977991318215,宮崎本店　２５度亀甲宮パック１．
4901777287969,グリーンダカラ　２Ｌ
4904766130215,東邦　ウタマロクリーナー４００ＭＬ
4987426001285,第３類医薬品　デリケアクリーム　１５ｇ
4903110105695,山崎　ランチパックツナマヨネーズ
404100014132,◎ＡＦＳ　国産豚肉小間切れM　２００ｇ
4901810396252,◎ＴＶ　ベストプライス緑豆もやし
4987123700283,指定第２類医薬品　ベンザせき止め液　１０ｍｌｘ３本
4987240631422,龍角散　のどすっきり飴カシス＆ブルーベリー
4901777333994,ペプシジャパンコーラゼロ　１．５Ｌ
4903015534507,ＹＢＣ　チップスターＬうすしお　１１５Ｇ
4902105256046,日清デカうまわかめそば　１０６ｇ
4902621004367,ハマダ　バランスパワー　アーモンドカカオ　６袋
4543720200788,ふっくらおにぎり鮭
4543720200795,ふっくらおにぎりツナマヨ
4902430823623,Ｐ＆Ｇ　ジョイモルディブウォーター本体　１９０ｍｌ
4901065507014,オ－エ　泡キュットソフトスポンジ
4901301361264,花王　アタックＺＥＲＯつめかえ　３６０ｇ
4902430704496,Ｐ＆Ｇ　レノアＨアロマＪダイヤモンド替　４５５ＭＬ
4901417721792,クラシエ　いち髪ふんわりさらさらケアＳＰ詰替
4901417721907,クラシエ　いち髪濃密Ｗ保湿ＣＤ詰替１０％増量
4904118658244,日本技研工業　不織布タイプ水切り袋三角　３５Ｐ
4901777235373,サントリー　ボス贅沢微糖　１８５ｇ×６缶
4901411011547,麒麟　のどごし　３５０ｍｌ×６Ｐ
4901004009302,スーパードライ大瓶　６３３ｍｌ×
4972444021551,アイス・オフＳ　レッド
49845372,やさしい麦茶　６５０ｍｌ
4514603361315,三ツ矢サイダーゼロストロング　５００ｍｌ
4909411076610,午後の紅茶ストレートティー　５００ｍｌ
4901340026445,濃いめのカルピス　４９０ｍｌ
4901111054042,ＡＧＦ　ブレンディミックスカロリーハーフ　３０Ｐ
4902102127271,Ｇクラフトマンカフェラテ　５００ｍｌ
4901777308619,クラフトボスブラウン　５００ｍｌ
45191749,オランジーナ　４２０ｍｌ
4901411083575,キリン　本麒麟　５００×６×４
49850895,■紀文食品　鯛入り伊達巻　福禄すだれ
4987306007390,大正製薬　リポビタンＤスーパー　１００ｍｌ×３本
4933370323218,エーオーセプトクリアケア
4901616959729,ガムデンタルペースト増量　１３５ｇ
4903301153238,ライオン　クリニカハブラシフラッ
4987067457601,カンゾコーワドリンク　１００ｍｌ
4987379006337,大木オレンジケア　ウエルシアツメキリ　Ｍサイズ
4987167092412,ニチバン　セロテープ２個パック１５ｍｍ×９ｍ
4967576331548,アイリス　Ｗアルカリ乾電池単四　１０本
4903335696107,オペラ　アイプチ　リキッドテープＮ
4987205311802,ホーユー　ＢＴメイクアップカラー　グレーＡ
4987205311901,ホーユー　ＢＴ　ベースアップブリ
4987300010921,指定第２類医薬品　エスエスブロン錠　８４錠
4901301293183,花王　ニベアＮリップブライトＣレ
4987028125600,エーザイ　チョコラＢＢハイパー
4904910046416,デミタス微糖６缶　１５０ｇ＊６＊５
4901005517455,ジャイアントカプリコ＜いちご＞　１本
4987343914729,指定第２類医薬品　ＨＣ総合かぜ薬クニヒロ　２２０錠
4548514153943,バスクリン　日本の名湯至福の贅沢３０Ｇ×１４包
4987009111349,指定第２類医薬品　ノーシン錠　６４錠
4901070114306,脱臭炭　冷蔵庫用大型　２４０ｇ
4901070117192,脱臭炭　野菜室用　１４０＋２ｇ
4517223484204,サンファブレス　ラブラブモイスチ
4902050473024,第一石鹸　ウエルシアパイプ洗浄剤　８００ｇ
4901070115068,トイレの消臭力　グレープフルーツ
4543720207602,ふっくらおにぎり辛子明太子
4901313192061,亀田の柿の種わさび６袋詰　１８２ｇ
4903110020455,山崎　ランチパックピーナツ
4901085606933,毎日１杯の青汁無糖　９００ｇ
4987443351745,◆第２類医薬品　ボルタレンＥＸローション　５０ｇ
4902150367148,海からサラダ風味かまぼこ　１２本
4901777232310,サントリー　Ｃ．Ｃ．レモン　５００ｍｌ
4901551353842,クラシエ　たのしいおすしやさんグレープ
45173585,明治　プチガム３９Ｇ
4902777005782,大粒ポイフル袋　８０Ｇ
4902750668126,コロログレープ　４８ｇ
4909411073190,メッツコーラ　１．５Ｌ
4903065270004,めんつゆ　５００ｍｌ
4901085194676,ベビーむぎ茶　５００ｍｌ
4901301289605,花王　ワイドハイターＥＸパワー
4901990198936,東洋水産　えび天ぷら　３枚
4902380194408,ダイエットドレうま塩　１８５ｍｌ
4987244150455,和光堂　元気っち！りんごと野菜　１２５ｍｌ×３個
4902820221312,ミニオンズカレーＰＣ甘口
4901231426330,あらびきウインナー２束　９０ｇ×２
4902705126558,おいしい牛乳　９００ｍｌ
4901313933701,亀田の柿の種ごま油香る黒胡椒味　１８２ｇ
4902402868324,プロクオリティ　ビーフカレー４袋中辛
49840315,ミックスフルーツ
49840377,ももとりんごのジュレ
49840209,トマトとりんご
49844184,キユーピー　Ｃ－７１バナナプリン
49840216,キューピー　３種のくだもの
49840179,ももと白ぶどう
4902102119443,爽健美茶　６００ＭＬ
4903333024865,ロッテ　のど飴袋　１１０ｇ
4903111579952,ユニ・チャーム　超快適マスク息ムレクリア普通　５枚
4987174721015,コフト顆粒　１２包
4987072077238,第２類医薬品　チクナイン　１４包
4528066158054,年賀はがきスタンダードカラー　５枚入
4901559220856,白元アース　いい湯旅立ち雪見にごり湯　１２包
4901004006721,スーパードライ生　缶３５０ｍｌ×
4979835317002,八鹿酒造　銀座のすずめ黒麹　７２
4901411083568,キリン　本麒麟　５００×６
4901777204706,サントリー　ほろよい　白いサワー
4901329271743,カネヨ　食器用洗剤ライム詰替　５００ｍｌ
4902430674782,Ｐ＆Ｇ　除菌ジョイ　特大７７０ＭＬ
4901301282415,花王　ロリエしあわせ素肌超スリム軽い日羽なし
4903110063278,山崎　薄皮つぶあんぱん　５個
4901990513043,マルちゃん正麺醤油味　５食
4978087181119,みぞれ玉　２１個
4901990522731,東洋水産　マルちゃん赤いきつねうどん
4901777302464,サントリー　プレミアムモルツ　５００ｍｌ６Ｐ
4976555812824,仕上名人　ササミロールガム　２４
4901777216884,サントリー　天然水（南アルプス）５５０ｍｌペット
4901616212268,サンスター　ガム　トラベルセット
4903326106028,チョコモナカ　１枚
4903110015307,山崎　大きなメンチカツドーナツ
4891228302764,シック　ハイドロシルク替刃２コ入
4987316010328,第２類医薬品　サトウ駆風解毒湯エキストローチ１８錠
4901777332522,こだわり酒場のレモンサワー　５００ｍｌ
4974824700995,大日産業　ｗｅｌｃｉａキッチンパックＬ１５０Ｐ
4550283260258,キッコーマン詰合せ　ＷＡＵ－２５Ｂ
4902777026398,チョコ効果カカオ８６％２６枚入り　１３０Ｇ
4901035510235,天乃屋　古代米煎餅　１４枚
4902050450087,第一石鹸　ウエルシア液体洗濯槽クリーナー　５５０
4903301187240,ライオン　ルック防カビくん煙剤
4901770599182,ぽち袋ディズニー
4901301263049,花王　ビオレマイルドクレンジング
4901777301092,なっちゃんりんご　４２５ｍｌ
4902102138833,花伝ロイヤルミルク缶　３７０ｍｌ
4902720116213,Ｍｔｒカフェラッテ　２４０ｍｌ
4902888221842,チョコボール＜ピーナッツ＞
49779721,ロッテ　きかんしゃトーマスラムネ　２３ｇ
4902555124056,不二家　アンパンマングミぶどう　６粒
4902888216039,森永製菓　小枝ミルクＴＴＰ１４４Ｇ
4902777072814,アーモンドチョコレートビッグパック　１８４Ｇ
4972050151741,小岩井生乳１００％ヨーグルト　４００ｇ
4514410144002,湖池屋じゃがいもの余韻トリュフ岩塩
4939503995963,個食美学スルメスティック　１８ｇ
4901984088267,ポテトフライフライドチキン
4901035115034,天乃屋　歌舞伎揚　１１枚
4902102130189,コカコーラ　檸檬堂定番レモン　３５０ｍｌ
4901301350244,花王　メリットシャンプーポンプ　４８０ｍｌ
4971710311327,コーセー　ソフティモ　スピーディ
4515061042150,クレンジングリサーチウォッシング
4971825013963,デオナチュレソフトＷカラーＣ
4562317265238,ＯＭ　着圧タイツ　８０Ｄ
4906156800333,アース製薬　液体ミューズ　詰替
4902806453232,マンダム　ＭＤＤＦハンドＣフルーティＣ　６０ｇ
4902430680226,Ｐ＆Ｇ　ｈ＆ｓリフレッシュＳＰ詰替３１５ｍｌ
4971825012409,シービック　デオナチュレ足指さら
4901340043343,はたらくアタマに抹茶ラテ　３７０ｇ
4978576203469,するめそうめん　２６Ｇ
4943542049457,やきかま　６５ｇ
4987353087741,ユースキン　ユースキン２０１９サービスＰ　１２０ｇ
4901301250506,ふろ水ワンダー　翌日も風呂水キレ
4901335175240,じゃがいも心地焼き海苔　５８ｇ
4976994206024,ミニカップ苺ブラウニーパフェ　１００ｍｌ
4976994206079,ミニカップメープルクッキー　１１０ｍｌ
4903111486595,シルコットＷＴ９９．９９％除菌替４０枚×３Ｐ
4902011731125,大王製紙　エリエール除菌アルコー
4987286416021,ハッカ油Ｐ　２０ｍｌ
4902111740737,ユニリーバ　ダヴＢＷＰモイスチャーポンプ５００ｇ
4901351013397,カンロ　金のミルクキャンディ　８０ｇ
4930726100349,キッコーマン　豆乳飲料バナナ　２００ｍｌ
4514062274362,レインボーラムネミニ　４０ｇ
4987035337218,大塚製薬　ポカリスエット　ボトル　１５００ｍｌ
45202896,キャメル・シガー・ライト・ボックス１Ｐ
4901872887460,ＦＴ資生堂　シーブリーズボディＳクールデオ　詰替
4901301364678,花王　アタック高活性バイオＥＸ詰替　８１０ｇ
4901872664672,★資生堂　アデノゲンＳＰオイリー詰替３１０ＭＬ
4987103048725,ゼリア新薬　マスデントケア　１１０ｇ
4978088880806,丸一製菓　ポップコーンバター味　６５ｇ
4903313200005,バウムクーヘン　１８個
4903110023449,山崎　まるごとソーセージ
4549660351740,びっくらたまごアナと雪の女王
4908011532359,雪印コーヒー　５００ｍｌ
4901330591656,ポテトチップスフレンチサラダ６０Ｇ
4901330523145,カルビー　ポテトチップスコンソメパンチ　６０ｇ
4902820020236,丸美屋　麻婆豆腐の素　甘口　箱１６２ｇ
4901301346636,花王　ＦニュービーズジェルフラワーＬ詰替　７１５ｇ
4902111753799,ユニリーバ　ラックスＢフュージョンＢリペアＴＭ
4902111753812,ユニリーバ　ラックスＢフュージョンＢサシェ
4809010272126,フルーティセブン　７Ｄドライマンゴー　７０ｇ
45201516,雪見だいふくハートのいちご　４７ｍｌ×２
4902720076951,ピノ　１０ｍｌｘ６
4901005319189,牧場しぼりクリームチーズ　１００ｍｌ
4976994205966,ミニカップゆずブランマンジェ　１１０ｍｌ
4976994205904,翠濃い茶　１００ｍｌ
4987123701402,第３類医薬品　マイティアＣＬアイスクラッシュ　１５
4987306047396,◆パブロンＳゴールドＷ錠　６０錠
4901872864195,資生堂　尿素１０％クリーム　ジャー１００ｇ
4902102137201,ＦＡミックスベリー　４９０ｍｌ
4903301292357,ライオン　アロマリッチダイアナ本体　５２０ｍｌ
4903301292210,ライオン　ソフランアロマリッチサラ本体　５２０ｍｌ
4904118643882,日本技研工業　常総広域とっ手不燃ごみ専用袋
4904118598212,日本技研　筑波指定燃やせるゴミ袋　２０ｌ
4573177591542,レックケミカル　ＷＥＬＣＩＡ重曹粉　１０００ｇ
4573177591559,レックケミカル　ＷＥＬＣＩＡクエン酸粉　５００ｇ
4903110084860,山崎　薄皮クリームパン　５個
4902580100889,マクセル　リチウム電池ＣＲ１２２
4901335156188,お徳用すっぱムーチョさっぱり梅味　１２６ｇ
4901940037872,ポテコうましお味　７８ｇ
4901360331208,エリーゼＦＳ　４４本
4902775044288,おやつ　超超ドデカイラーメン　１５０ｇ
8886467101991,プリングルズＳＣ＆オニオン１１０ｇ
4975566145013,フルーツカラー１２ＲＷミックスベ
4955250008503,二階堂　むぎ焼酎　２５％１８００ｍｌ
4978432672316,福徳長　すーっと優しい純米吟醸　１８００ｍｌ
4966761001662,田苑栗源　ゴールド　２５度　瓶７２０ｍｌ
4901301349170,花王　強力カビハイター排水口スッキリ　１２０ｇ
4901301222831,強力カビハイター　つけかえ用　４
4987072041376,小林製薬　おむつゴミサワデー　２．７ｍｌ
4901301347220,花王　バスマジックリン香り残らない替　３３０ｍｌ
4987072011188,小林製　熱さまシート　子供用　１２枚＋４枚
4903301818670,第２類医薬品　小児用バファリンチュアブル　１２錠
4987305322210,第２類医薬品　リコリス小児用　２０ｍｌ×３本
4903110293453,①山崎パン　マドレーヌ（紅茶）
4903110760184,チ－ズケ－キ
4902388014630,濃いおしるここしあん　１５０ｇ
4930726100301,キッコーマン　ロイヤル紅茶豆乳　２００ｍｌ
4902102069366,アクエリアス５００ＭＬ×２４
4901515561535,マンズ甲州　酵母の泡７２０ｍｌ
4973480835546,メルシャン　サンライズＳＰ白　３７５ｍｌ
4902115151102,シャウエッセン　１２７ｇ×２束
4904118639861,日本技研　レジバック乳白ＳＳ　１００Ｐ
4904118598229,日本技研　つくば市指定燃えるゴミ　３０ｌ
4521684313676,ジャパックス　ｗｅｌｃｉａ水切りストッキング浅型
4902011739008,ＥＬキレキラ替フローラル増量　２０枚＋２
4903301282273,ライオン　システマハブラシＲ４列　やわらかめ
4987300060018,◆アレジオン２０　１２錠
4970093043269,池田工業　スカイカイトＬ
4954097859521,ＨＣマージョンＤＸ４０００α　１Ｂ
4901901249672,おさかなソーセージ１０％増量　８０ｇ×４
4901301347916,花王　クイックルウエットハーブ１６枚　１６枚
4903032240313,チョコケーキ　２枚
4904555017246,たんぽぽ　和風ワレットポチ袋
4902506237026,ぺんてる　エナージェル１．０　黒
4904512810606,バタピー　２５０ｇ
4901551221851,はちみつゆず茶　３袋
4902102107648,コカコーラ　綾鷹　５２５ｍｌ
4901990324595,東洋水産　ごつ盛り　ソース焼そば
4901411097237,氷結ｍｅｅｔｓＰｏｃｋｙ　３５０ｍｌ
4946842638482,ＤＮＳビタミンＣ　６０日分
4904670463690,宝焼酎ハイボールレモン　５００ｍ
4987241118830,ロート製　薬用リップ　ＸＤ
4903111317950,ＵＣ　ソフィはだおもいふつう羽根つき２６枚
4987072038864,小林製薬　サラリエ　ホワイトブーケ　７２枚
4971032881157,ピップ　ｄａｃｃｏマミーパットふ
4901777294257,のんある気分巨峰ＳＴ　３５０ｍｌ
4901777261754,サントリー　ほろよいグレフルソル
4901411047584,キリン　氷結ＺＥＲＯ　ＧＦ　３５
4901330512361,カルビー　ポテトチップスのりしお　６０ｇ
4901777314979,胡麻麦茶（特定保健用食品）　１．０５Ｌ
4902720115650,ピノチョコアソート１０ＭＬ×２４
4901734000037,サッポロ一番　塩らーめん　袋　１００ｇ
4901734000020,サッポロ一番　みそラーメン　袋　１００ｇ
4902105001233,焼きそば　袋　１００ｇ
4901990364690,正麺カップ濃厚魚介豚骨まぜそば　１２９ｇ
4901990364966,謹製豚そば　９３ｇ
4902115319205,直火焼もう切ってますよ焼豚　１３６Ｇ
49839340,ビフィズス菌カプセルＤＹＧ　１００ｇ
